Title,channel name,channel link,views,Video length,Link
Blast Baby - Video Song | God Father | Megastar Chiranjeevi | Salman Khan | Thaman S | Mohan Raja,Saregama Telugu,https://www.youtube.com/user/saregamasouth,1.9M views,5:29,https://www.youtube.com/watch?v=TkJHpEhHFVk
Tom & Jerry | A Bit of Fresh Air! | Classic Cartoon Compilation | @WB Kids,WB Kids,https://www.youtube.com/c/wbkids,105M views,22:56,https://www.youtube.com/watch?v=5oH9Nr3bKfw
5.1 Tamil Songs | Ilayaraja Duets 5.1 Part2 | Dolby Digital 5.1 Tamil songs | Paatu Cassette Songs,Selva Musicals,https://www.youtube.com/channel/UCofWsK9bcuuwwZEu7uIJl5w,242K views,2:00:31,https://www.youtube.com/watch?v=KPLI4yP_v0E
Suryakumar Yadav's Incredible 117 off 55 Balls at Trent Bridge! | England v India,England & Wales Cricket Board,https://www.youtube.com/cricket,7.3M views,9:55,https://www.youtube.com/watch?v=8S5lApwP3yo
Dark Truth of Fake Gurus | Reality of Fake Gurus | Business Case Study,Aditya Saini,https://www.youtube.com/c/AdityaSaini1505,2.5M views,19:18,https://www.youtube.com/watch?v=LzAILQMonM4
"Billboard Hot 100 This Week - Ed Sheeran, Adele, Justin Bieber, Bruno Mars, Maroon 5, Rihanna,Sia",Music Collection,https://www.youtube.com/user/nseela,754K views,11:55:00,https://www.youtube.com/watch?v=VG51kFqhUwM
This KOYAL was born in CROW's Nest! *HouseVlog1,Wildly Indian,https://www.youtube.com/c/WildlyIndian,2.7M views,16:44,https://www.youtube.com/watch?v=5TvrSYST3AU
தஞ்சாவூரிலும் தெரிந்த பகுதி சூரிய கிரகணம்|Partial Solar Eclipse #partialsolareclipse2022,Vinveli Paarvai(Cosmic Eye),https://www.youtube.com/c/VinveliPaarvaiCosmicEye,328 views,1:30,https://www.youtube.com/watch?v=o3owwW9uPSM
The captaincy task brings out a lot of emotions in the Bigg Boss house | BB Telugu 6 | Day 54 Promo1,Star Maa,https://www.youtube.com/c/StarMaaTV,249K views,1:59,https://www.youtube.com/watch?v=EJ7yudjmcjY
"Ratchasa Maamaney - Full Video | Ponniyin Selvan -1 | Tamil | AR Rahman | Karthi, Trisha| Shreya G",Tips Tamil,https://www.youtube.com/c/TipsTamil,7.8M views,4:29,https://www.youtube.com/watch?v=IjvQeKQRfIk
"Yashoda Trailer (Telugu) | Samantha, Varalaxmi Sarathkumar | Manisharma | Hari - Harish",Aditya Music,https://www.youtube.com/c/adityamusic,1.9M views,2:41,https://www.youtube.com/watch?v=fZWjsFraE1s
"3 மணி நேர பயணம்,இனி 30 நிமிடம் மட்டுமே - காடுகள் வழியே பறக்கும் திகில் பயணம் | Palani | Kodaikanal",Thanthi TV,https://www.youtube.com/c/ThanthitvNews,364K views,4:49,https://www.youtube.com/watch?v=JYgisVY04To
Marvel Studios’ Special Presentation: The Guardians of the Galaxy Holiday Special | Official Trailer,Marvel Entertainment,https://www.youtube.com/c/marvel,7.6M views,1:15,https://www.youtube.com/watch?v=OYhFFQl4fLs
The Nerve Wracking thriller: what went through my mind before I walked in to bat | Kutti Story,Ashwin,https://www.youtube.com/c/AshwinCrikipidea,1M views,12:56,https://www.youtube.com/watch?v=DxDmK8a3-aQ
Varisu Director Vamshi Paidipally 1st ever Exclusive Interview | Vijay | Dil Raju | Vaarasudu,Cinema Vikatan,https://www.youtube.com/c/cinemavikatan,745K views,26:45,https://www.youtube.com/watch?v=ygaK4BQaACk
Waltair Veerayya Title Teaser | Megastar Chiranjeevi | Ravi Teja | Bobby Kolli | Shruti Haasan,Mythri Movie Makers,https://www.youtube.com/c/MythriMovieMakers,10M views,2:32,https://www.youtube.com/watch?v=PlS6KkFfMOM
Thangalaan Title Announcement | Chiyaan Vikram | Pa Ranjith | G V Prakash Kumar | K E Gnanavelraja,Times Music Tamil,https://www.youtube.com/c/TimesMusicTamil,1.5M views,0:54,https://www.youtube.com/watch?v=Dkbiq3QrpG4
Marvel Studios’ Ant-Man and the Wasp: Quantumania | Official Tamil Trailer,IndiaMarvel,https://www.youtube.com/c/marvelin,296K views,2:20,https://www.youtube.com/watch?v=khGiM_gLlAc
Bigg Boss Tamil Season 6 | 27th October 2022 | #Promo02,Disney+ Hotstar Tamil,https://www.youtube.com/c/disneyplusHSTam,586K views,0:35,https://www.youtube.com/watch?v=Lt5LSFFHA2g
"Rajini | Ep - 267 | Preview | Oct, 26 2022 | Shreya, Subiksha, Preetha Suresh | Zee Tamil",Zee Tamil,https://www.youtube.com/c/zeetamil,315K views,1:39,https://www.youtube.com/watch?v=hBfBwX6jkro
Diwali Alaparaigal | Nakkalites,Nakkalites,https://www.youtube.com/c/NakkalitesTamil,682K views,9:42,https://www.youtube.com/watch?v=O7qRZpIKVg8
"Non Stop Love Mashup 🧡💛💚 Best Mashup of Arijit Singh, Jubin Nautiyal, BPraak, Atif Aslam,Neha Kakkar",Music Wave,https://www.youtube.com/c/MusicWave,592K views,1:37:28,https://www.youtube.com/watch?v=pR1CEOQJ3Mg
Surah Baqarah (Fast Recitation) Speedy and Quick Reading in 59 Minutes By Sheikh Sudais,YT TECH & GAMING,https://www.youtube.com/channel/UCIsStw9Z_YyVfV6t4UoLrjQ,38K views,59:46,https://www.youtube.com/watch?v=Ys5_yATdMuc
Oggy và những chú gián tinh nghịch | NGƯỜI KHỔNG LỒ | S01E23 | phim hoạt hình,Oggy và những chú gián tinh nghịch,https://www.youtube.com/channel/UCD7r28qId_qf3MFtdvVlslw,1M views,33:19,https://www.youtube.com/watch?v=ewrH-DyjTgA
ACHYUTAM KESHAVAM KRISHNA DAMODARAM | Krishna Bhajans |Radhe,DeepLove Vlogs,https://www.youtube.com/c/DeepLoveVlogs,4.1M views,50:41,https://www.youtube.com/watch?v=a6ZHdriWFjg
This Mantra Helped Me Remove All Obstacles Ganesha Maha Mantra (Vakratunda Mahakaya),Mahakatha - Meditation Mantras,https://www.youtube.com/c/MahakathaMeditationMantras,11M views,59:45,https://www.youtube.com/watch?v=C0yPwkXmI1Y
Diwali Paavangal 2022 | Parithabangal,Parithabangal,https://www.youtube.com/c/Parithabangal,2.4M views,15:34,https://www.youtube.com/watch?v=mPQAXIRBZ04
yuvan hits songs | love songs | U1 songs | yuvan songs | yuvan feeling songs | love feeling songs,Tube Villan,https://www.youtube.com/c/TubeVillan,2.8M views,1:02:20,https://www.youtube.com/watch?v=KRz1HcHRC60
Challenging Google's Top Feeder College Students? Ft. UC Berkeley!,Singh in USA,https://www.youtube.com/c/SinghinUSA,493K views,12:27,https://www.youtube.com/watch?v=9kfScGV6W1Y
Amazon Wildlife In 4K - Animals That Call The Jungle Home | Amazon Rainforest | Relaxation Film,Dream Soul,https://www.youtube.com/channel/UCpwh9JDV_gQETnISqmpFQSA,3.4M views,3:57:25,https://www.youtube.com/watch?v=tzwcUsZvGS0
Kanda Sashti Kavacham | Murugan | கந்த சஷ்டி கவசம் | Original Full,Symphony,https://www.youtube.com/c/Symphonyrecording,166M views,22:58,https://www.youtube.com/watch?v=CfXXMZK9grE
The Return of Mr Bean | Episode 2 | Widescreen Version | Classic Mr Bean,Classic Mr Bean,https://www.youtube.com/c/ClassicMrBean,28M views,25:28,https://www.youtube.com/watch?v=RyHo15EyGcE
Megham Karukatha - Official Video Song | Thiruchitrambalam | Dhanush | Anirudh | Sun Pictures,Sun TV,https://www.youtube.com/c/suntv,58M views,4:43,https://www.youtube.com/watch?v=cEWwJxEq9Lg
Best Hindi Comedy Scenes from Movie Deewane Huye Paagal -  Akshay Kumar - Paresh Rawal - Vijay Raaz,Shemaroo Comedy,https://www.youtube.com/c/shemaroobollywoodcomedy,4M views,20:46,https://www.youtube.com/watch?v=cUJeVkW9ib8
Impossible 0.00001% Odds!,Beast Reacts,https://www.youtube.com/c/BeastReacts,13M views,8:01,https://www.youtube.com/watch?v=DvkTX-AquQo
2 hours nonstop worship songs with lyrics 2020 | 2 hours of Christian songs with lyrics 2020,DD PAW,https://www.youtube.com/channel/UCKVJ5x2WXhwwGqkolyAeJPg,5.5M views,2:01:36,https://www.youtube.com/watch?v=HH0T8Wo6GxQ
Niki and Chris - favorite stories with little brother,Vlad and Niki,https://www.youtube.com/c/VladandNiki,47M views,20:49,https://www.youtube.com/watch?v=eaN-7fBPTEM
SITA RAMAM JUKEBOX || Dulquer Salmaan || Mrunal Thakur || Rashmika Mandanna || Telugu Latest Albums,All Rounder Ayya,https://www.youtube.com/c/AllRounderAyya,715K views,21:08,https://www.youtube.com/watch?v=vJrCGwL03uo
"Dua Lipa, Coldplay, Martin Garrix & Kygo, The Chainsmokers Style - Feeling Me",Deep Mood.,https://www.youtube.com/channel/UCX-USfenzQlhrEJR1zD5IYw,668 watching,,https://www.youtube.com/watch?v=zE-a5eqvlv8
How to Make Notes? UPSC Civil Services | By Srushti Deshmukh IAS | Nagarjun Gowda IAS,IAS BABA,https://www.youtube.com/channel/UChvbVdio9Wgj7Z3nQz1Q0ZQ,893K views,16:01,https://www.youtube.com/watch?v=dbwFoa_yQHM
Har Har Shambhu | Shiv Bhajan Har Har shambhu shiv mahadeva | Abhilipsa Panda | Jeetu Sharma | Shiv,Arjun pandit,https://www.youtube.com/channel/UCaTuyVM13jFEt0-LcWy_vdw,11M views,8:45,https://www.youtube.com/watch?v=ijzh5TyothM
Taarak Mehta Ka Ooltah Chashmah - Episode 386,Sony SAB,https://www.youtube.com/c/sonysab,83M views,20:52,https://www.youtube.com/watch?v=G5yYl7gFDx0
ஹரிஹரன் சூப்பர் ஹிட் பாடல்கள் | Hariharan Super Hit Songs | Tamil Music Center,Tamil Music Center,https://www.youtube.com/c/TamilMusicCenter,6.3M views,2:47:01,https://www.youtube.com/watch?v=tXPXuhT5Kd0
"Official Live Telecast from Sachkhand Sri Harmandir Sahib Ji, Amritsar | PTC Punjabi | 07.08.2022",PTC PUNJABI,https://www.youtube.com/c/ptcpunjabi,364K views,3:37:00,https://www.youtube.com/watch?v=51AAe9G5xZU
Day in the life of a 4th year Medical Student | First day back,Zeliha Akpinar,https://www.youtube.com/channel/UChME7blpRpX1ViN-oPBpNmw,882K views,11:33,https://www.youtube.com/watch?v=a44ohQeIuO8
Маша и Медведь 🧤 Коллекция серий про Машу 🎬,Get Movies,https://www.youtube.com/c/getmovies,16M views,11:55:01,https://www.youtube.com/watch?v=jQBv1Cmi5AY
KK - Best of KK Songs | GOAT | Best Bollywood/Romantic Songs Jukebox | Emraan Hashmi,VedisticOP,https://www.youtube.com/channel/UCDmmzlMWDCAQfNsJYXmho4w,2.1M views,1:59:42,https://www.youtube.com/watch?v=NYUNliXrD0c
"PM Modi inspects Shree Ram Janmabhoomi Teerth Kshetra site in Ayodhya, Uttar Pradesh",Narendra Modi,https://www.youtube.com/c/NarendraModi,296K views,26:24,https://www.youtube.com/watch?v=CmnrHkACmyE
FilterCopy | Neighbourhood Romance: Meeting Your Crush After A Long Time | Ft. Devishi & Omkar,FilterCopy,https://www.youtube.com/c/FilterCopy,1.8M views,10:11,https://www.youtube.com/watch?v=QHmtz9rRihA
Best of Arijit Singh Heart Touching Songs _Arijit Singh Songs _Top Very Sad Songs Audio Jukebox,jackson,https://www.youtube.com/user/jackson10089,481K views,1:32:40,https://www.youtube.com/watch?v=2WsL_Qo2jC8
नाग माता सुरसा और हनुमान का युद्ध | Sankat Mochan Mahabali Hanuman 377,Shemaroo TV,https://www.youtube.com/channel/UC5crEdQIbHcsVwOILpJrXHQ,31M views,22:10,https://www.youtube.com/watch?v=DDfI_oIGh5s
YOU CAN CONTROL YOUR MIND AFTER THIS | The monk and cat story | Buddhist story |,Words of Wisdom,https://www.youtube.com/channel/UC14aFPpH4jF3FfRQZojCfeg,312K views,8:05,https://www.youtube.com/watch?v=bNTYkj8a1vA
Living Alone Diaries 🛁✂️ 📦🍦 | How I do my Small Business? | Arunachali,Yoopa Rebe,https://www.youtube.com/channel/UCE-r-kpaukTn4AMccp8YpsQ,2M views,13:07,https://www.youtube.com/watch?v=h5cKT3t0TzY
Kantara - Varaha Roopam(Lyric Video)| Sai Vignesh | Rishab Shetty | Ajaneesh Loknath | Hombale Films,Hombale Films,https://www.youtube.com/c/HombaleFilms,15M views,4:31,https://www.youtube.com/watch?v=gH_RYRwVrVM
Mangal Bhavan Amangal Hari || मंगल भवन अमंगल हारी || Ramayan Chaupai || Kumar Vishu || Har Har Ganga,Chatore lok,https://www.youtube.com/c/Chatorelok,6.3M views,1:05:26,https://www.youtube.com/watch?v=JvzBZGjnmjE
Flying with Karthi 🔥Sardar Interview in AEROPLANE - Irfan's View,Irfan's view,https://www.youtube.com/user/smashingirfan,2.2M views,24:10,https://www.youtube.com/watch?v=lqUZai88FGI
"Main Rahoon Ya Na Rahoon Full Video | Emraan Hashmi, Esha Gupta | Amaal Mallik, Armaan Malik",T-Series,https://www.youtube.com/aashiqui2,334M views,6:47,https://www.youtube.com/watch?v=Dp6lbdoprZ0
DJ Tillu Siddu Jonnalagadda funny counters to Rana Daggubati's comments at South Indian Movie Awards,SIIMA,https://www.youtube.com/c/siimaofficial,942K views,4:05,https://www.youtube.com/watch?v=64VM0dXGW4c
Best Quran Recitation in the World 2016 Emotional Recitation |Heart Soothing by Abdur Rahman Al Ossi,AWAZ,https://www.youtube.com/c/awaz,70M views,28:42,https://www.youtube.com/watch?v=ef8Ci5Zc3ZA
महामृत्युंजय मंत्र 108 times || Mahamrityunjay Mantra ||,शनि शत्रु नहीं मित्र हैं Shree Shanidham,https://www.youtube.com/c/shanidhamdaati,1M views,3:17:21,https://www.youtube.com/watch?v=yj475Hxgz7I
Shankarji Ka Damroo & more Songs Collection | बाल गणेश  शंकरजी का डमरू | Kids Bhakti,Kids Bhakti,https://www.youtube.com/c/ShemarooSunflowerKidz,1.6M views,20:09,https://www.youtube.com/watch?v=TcnVMY33whI
Pasoori - Coke Studio | Season 14 (audio),Top Trend Songs,https://www.youtube.com/channel/UCWIzab8RjYRyRUQnaxGqlkg,183K views,4:37,https://www.youtube.com/watch?v=mrw_TJ7as1Q
My Korean husband doesn’t click photos with me anymore 😞🇰🇷,mylovefromkorea,https://www.youtube.com/channel/UCEhar5BxX2Sz7IShhnSVl7A,2.2M views,12:29,https://www.youtube.com/watch?v=SST3QUT5gDM
Morning Flute :  Relaxing Instrumental Music Meditation मधुर बासुरी,Mind & Soul,https://www.youtube.com/c/MindSoul,6.3M views,29:59,https://www.youtube.com/watch?v=jlDfzn2107g
Bigg Boss Tamil Season 6 | 28th October 2022 - Promo 2,Vijay Television,https://www.youtube.com/c/VijayTelevision,161K views,0:35,https://www.youtube.com/watch?v=6eouypLLAj8
இரவு பேருந்து பயணத்தில் கேட்டு ரசித்த பாடல்கள் / bus night travel songs tamil / Kavi Musical❤️👍🙏,Raj Audio Vlog 2.0,https://www.youtube.com/channel/UCXMTQzO_LyLsU8cbnY2BCDw,4.1M views,48:18,https://www.youtube.com/watch?v=R7X-7MU3sQM
छठ पुजा विशेष | Mowgli Special | हिंदी कहानीयाँ । जंगल बुक | पॉवरकिड्स टी.वी,PowerKids TV,https://www.youtube.com/c/PowerKids,56M views,51:08,https://www.youtube.com/watch?v=Kk_PaNcmwfI
Dirty Little Secret - Nora Fatehi  Live Performance | Abu Dhabi Dalma Mall,SUBICUTZ,https://www.youtube.com/user/subinsojan,2.2M views,9:47,https://www.youtube.com/watch?v=E_kE6nD4oSg
Durga Amritwani By Anuradha Paudwal I Audio Song Juke Box,T-Series Bhakti Sagar,https://www.youtube.com/c/TSeriesBhaktiSagar,109M views,49:37,https://www.youtube.com/watch?v=1pvfus9rD6Y
हिंदी Oggy and the Cockroaches 🔧 KEYS & IDEAS 🔧 Hindi Cartoons for Kids,Oggy Hindi - हिन्दी,https://www.youtube.com/channel/UC9TgvYNUsMBPl6J2xbL-4qg,46M views,26:42,https://www.youtube.com/watch?v=MUMCZZl9QCY
"#TilluSquare - Title Reveal | Siddhu, Anupama Parameswaran | Mallik Ram | S Naga Vamsi",Sithara Entertainments,https://www.youtube.com/c/SitharaEntertainments,5M views,2:13,https://www.youtube.com/watch?v=oOJy-WH1Iyw
Namo Namo - Lyrical |Kedarnath | Sushant Rajput | SaraAli Khan | Amit Trivedi |Amitabh B | 10pm Edit,10pm Edit,https://www.youtube.com/channel/UCd3BWpnR_qhmadKEd1CMHXQ,159K views,5:29,https://www.youtube.com/watch?v=w7p9srLYOJw
அயிகிரிநந்தினி | Aigiri Nandini withTamilLyrics | MahishasuraMardini SANSKRIT |அயிகிரி நந்தினி  -,VejayAudios,https://www.youtube.com/c/VejayAudios,2.3M views,1:22:02,https://www.youtube.com/watch?v=OWHVsv3lucA
"Nazz VS Srushti | Nazz, Srushti Tawade | Hustle 2.0",KaanPhod Music,https://www.youtube.com/c/KaanPhodMusic,15M views,3:30,https://www.youtube.com/watch?v=7_TT7jtCJOU
World Best Naat e Rasool  || Be Khud Kiye Dete Hain || Arfana kalam  Owais Raza Qadri,Tayyiba Production,https://www.youtube.com/c/TayyibaProduction,1.6M views,21:14,https://www.youtube.com/watch?v=T8ZCJyGL1Bs
1 Hour Of Night Hindi Lofi Songs To Study \Chill \Relax \Refreshing,Mood Creations,https://www.youtube.com/channel/UCGygZw_Qvj1Mi_Uw6D9R-JA,12M views,1:06:43,https://www.youtube.com/watch?v=rtTI1rh9U5M
The Wheels on the Bus KARAOKE! | BEST OF @Cocomelon - Nursery Rhymes | Sing Along With Me!,Moonbug Kids - Sing Along With Me!,https://www.youtube.com/c/MoonbugKidsSingAlongWithMe,28M views,30:29,https://www.youtube.com/watch?v=EWdkqJFoPsg
Waheguru Simran Bhai Joginder Singh Ji Riar | Shabad Gurbani Kirtan Simran Live | Waheguru Jaap,Shabad Kirtan Gurbani - Divine Amrit Bani,https://www.youtube.com/c/divineamritbani,27M views,58:01,https://www.youtube.com/watch?v=DFVk71WxxBE
"Deva Deva - Lyric Video|Brahmāstra|Amitabh B, Ranbir, Alia|Pritam, Arijit, Jonita",SonyMusicIndiaVEVO,https://www.youtube.com/user/sonymusicindiaVEVO,8.9M views,4:32,https://www.youtube.com/watch?v=L3BGGVJiPS0
हे दुःख भंजन मारुति नंदन | Hey Dukh Bhanjan Maruti Nandan | Hanuman Vandana | Bhakti Song,Live Khatu Shyam Sonotek,https://www.youtube.com/channel/UCha-5vjckoBlL8gqJdW3frA,11M views,29:53,https://www.youtube.com/watch?v=u51nZdrafjo
Motu Patlu | मोटू पतलू S1 |Adventure Of Mansi And Akash | Episode 236 Part 1 |Download Voot Kids App,Voot Kids,https://www.youtube.com/c/vootkids,77M views,11:49,https://www.youtube.com/watch?v=LiXVaVKlQW8
என்கூடவே_இரும்_Yen Koodave lrum_lyrics_Tamil_Christian_song_mp4k,youth for Christ Hit songs Tamil,https://www.youtube.com/channel/UCJ1FOEAYg5LgDvu-H7Zk2Pw,17M views,6:19,https://www.youtube.com/watch?v=6sXffM_7iAw
Bhai Ye Toh Shuru Hote He Khatam Ho Gaya- Arshad Warsi Comedy | MunnaBhai M.B.B.S | Sanjay Dutt,Bolly Shorts,https://www.youtube.com/channel/UCf7v5xxYy2DJFTkF66rDk-w,8.7M views,17:55,https://www.youtube.com/watch?v=41LpO5ThSqU
O pata nahi ji konsa nasha karta hai | hardy sandhu | pata nahi ji konsa nasha karta hai | Sargun M,Arya Sharma,https://www.youtube.com/channel/UCo3wcYIoE3wJVKrY_wrM2Yg,15M views,4:24,https://www.youtube.com/watch?v=6IeL4ZUck2w
2000s Super Hit Love Songs | 2000s Tamil Evergreen Love Songs | Tamil Love Songs | Jukebox-1,Gamified,https://www.youtube.com/c/GamifiedOfficial,5M views,1:20:38,https://www.youtube.com/watch?v=vSvy9mZJdQ4
AISE KYUN (Ghazal Version) | ANURAG SAIKIA | REKHA BHARDWAJ | RAJ SHEKHAR |,Anurag Saikia's Topic,https://www.youtube.com/channel/UC9Hx4Zx8jiwbiGNq6DnsGiA,238K views,5:29,https://www.youtube.com/watch?v=9g2i3aTK4SE
Lalitha Sahasranamam Full - MS Subbalakshmi,BHAKTHI MUSIC | KANNADA DEVOTIONAL | KANNADA SONGS,https://www.youtube.com/c/bakthimusic,3.3M views,58:29,https://www.youtube.com/watch?v=aIXvBUgeFvQ
Inthandham Video Song - Sita Ramam (Telugu) | Dulquer | Mrunal | Vishal | Hanu Raghavapudi,Sony Music South,https://www.youtube.com/c/SonyMusicSouth,17M views,4:02,https://www.youtube.com/watch?v=dOKQeqGNJwY
Top 13 Pahatechi Bhakti Geete | पहाटेची भक्ती गीते | Audio Jukebox,Bhakti World,https://www.youtube.com/c/BhaktiWorld,20M views,59:43,https://www.youtube.com/watch?v=8a1iPQ6pU18
"24 Hit songs Of Ayushmann Khurrana - Nazm Nazm, Naina Da Kya Kasoor, Dil Ka Telephone.....",Zee Music Company,https://www.youtube.com/user/zeemusiccompany,2.9M views,1:13:21,https://www.youtube.com/watch?v=hN4f9POjgEk
"Raataan Lambiyan English Translation | Shershaah | Sidharth, Kiara | Tanishk |Jubin Nautiyal |Asees",Pema Tashi,https://www.youtube.com/channel/UCD3pmqH3tP0UrOdXGQlaPdA,1.3M views,4:51,https://www.youtube.com/watch?v=b-4VG2Xbp4Y
